index	monomial	coefficient
548	b^9*u^4	1.92279640349984730e-02
549	b^10*v^3	5.43222525526795863e+00
550	b^10*u*v^2	7.23006951886250526e-01
551	b^10*u^2*v	-1.88707384710743017e-03
552	b^10*u^3	-8.08837788986348016e+00
553	b^11*v^2	8.00305334245418010e+00
554	b^11*u*v	2.91124950968904539e+00
555	b^11*u^2	-2.99505497821218736e+00
556	b^12*v	7.49829758187699369e+00
557	b^12*u	-1.21761850094765052e+01
558	b^13	-7.56187753095043103e-02
559	u^2*v^12	0.00000000000000000e+00
560	u^3*v^11	-0.00000000000000000e+00
561	u^4*v^10	-0.00000000000000000e+00
562	u^5*v^9	-0.00000000000000000e+00
563	u^6*v^8	-0.00000000000000000e+00
564	u^7*v^7	-0.00000000000000000e+00
565	u^8*v^6	0.00000000000000000e+00
566	u^9*v^5	-0.00000000000000000e+00
567	u^10*v^4	0.00000000000000000e+00
568	u^11*v^3	-0.00000000000000000e+00
569	u^12*v^2	0.00000000000000000e+00
570	b*u*v^12	-0.00000000000000000e+00
571	b*u^2*v^11	-0.00000000000000000e+00
572	b*u^3*v^10	0.00000000000000000e+00
573	b*u^4*v^9	0.00000000000000000e+00
574	b*u^5*v^8	-0.00000000000000000e+00
575	b*u^6*v^7	-0.00000000000000000e+00
576	b*u^7*v^6	-0.00000000000000000e+00
577	b*u^8*v^5	-0.00000000000000000e+00
578	b*u^9*v^4	0.00000000000000000e+00
579	b*u^10*v^3	-0.00000000000000000e+00
580	b*u^11*v^2	0.00000000000000000e+00
581	b*u^12*v	-0.00000000000000000e+00
582	b^2*v^12	0.00000000000000000e+00
583	b^2*u*v^11	0.00000000000000000e+00
584	b^2*u^2*v^10	-0.00000000000000000e+00
585	b^2*u^3*v^9	-0.00000000000000000e+00
586	b^2*u^4*v^8	-0.00000000000000000e+00
587	b^2*u^5*v^7	-0.00000000000000000e+00
588	b^2*u^6*v^6	-0.00000000000000000e+00
589	b^2*u^7*v^5	-0.00000000000000000e+00
590	b^2*u^8*v^4	-0.00000000000000000e+00
591	b^2*u^9*v^3	-0.00000000000000000e+00
592	b^2*u^10*v^2	0.00000000000000000e+00
593	b^2*u^11*v	0.00000000000000000e+00
